epxWave,epyWave
-20.5838,13.3517
-20.5997,13.5125
-20.5928,13.0982
-20.7522,12.7962
-19.5245,12.5277
-15.2613,11.687
-12.501,11.09
-10.8829,11.2172
-9.44735,10.3406
-7.94298,10.6074
-8.29045,10.1259
-8.42274,9.63212
-8.32043,9.89534
-7.95814,9.12964
-8.20656,9.30547
-7.86351,9.12077
-7.81773,9.08478
-7.84049,9.5943
-8.01017,9.94986
-8.30495,10.0021
-8.30702,10.2492
-8.06574,10.7179
-7.83664,10.2989
-8.31816,10.4946
-7.93639,10.4521
-8.49886,10.5519
-8.56836,10.3159
-8.91423,10.501
-9.02447,10.3748
-8.99112,10.4203
-9.47289,10.5755
-9.75468,10.6758
-8.99318,10.6976
-9.47523,10.6707
-9.36809,10.3886
-9.50967,10.3312
-9.44944,10.6814
-8.49644,10.8212
-9.37442,10.5052
-9.38517,10.4004
-8.81641,10.5877
-9.88865,10.5027
-9.81127,10.4034
-9.89438,10.6262
-9.83387,10.5504
-9.97077,10.5898
-10.9692,10.8629
-10.1456,10.9723
-10.2435,10.6669
-10.0446,10.7549
-10.2249,10.8384
-10.0723,10.8146
-10.4945,10.5205
-10.6373,10.6412
-10.6641,10.6351
-10.6565,10.9043
-10.7421,11.2397
-11.0553,10.524
-11.2897,11.1781
-11.2408,11.2077
-11.5107,11.0977
-11.3827,10.9843
-11.3165,11.0086
-11.2645,10.8014
-11.3643,10.8813
-11.4974,10.9366
-11.3204,11.2308
-11.8923,11.2453
-11.4359,11.1574
-11.3074,10.9613
-11.4622,11.1866
-11.684,11.3059
-11.077,11.2739
-11.3095,10.8963
-11.1839,11.372
-11.4074,10.7145
-11.4923,10.8709
-11.2804,10.7729
-11.099,11.4609
-11.5289,11.0271
-11.6465,11.2813
-11.3396,11.2006
-11.8386,10.9343
-11.5034,11.3036
-11.4973,10.7484
-11.5048,10.7822
-11.7205,10.9054
-11.748,10.7595
-11.5194,10.7014
-11.8098,10.7462
-11.8386,10.6806
-12.0706,10.784
-12.0743,11.0794
-12.1307,11.4465
-11.971,10.9708
-12.334,11.1476
-11.9435,11.3363
-12.5398,11.0906
-12.4181,11.5274
-12.6719,11.2011
-12.4866,11.3309
-12.3416,11.138
-12.759,11.199
-12.8877,11.133
-12.719,11.3858
-12.9084,11.4114
-12.8414,11.2825
-12.7391,10.8696
-12.6998,11.0808
-13.1484,11.2073
-13.0937,11.0775
-13.2073,11.2344
-12.6689,11.1245
-13.2078,11.4771
-13.1747,11.221
-12.9783,11.2371
-12.9591,11.505
-13.1238,11.1236
-13.4993,10.9856
-13.6311,11.2996
-13.9676,11.2256
-13.5117,11.6177
-13.7466,11.0464
-13.909,11.3914
-13.7472,11.5042
-13.4296,11.1193
-13.597,11.2696
-13.8369,11.1454
